id,year,ncessch,leaid,grade,race,sex,enrollment,fips,extracted_at
339,2022,060142301501,0601423,4,99,99,84,6,2026-03-29
340,2022,060142301502,0601423,4,99,99,83,6,2026-03-29
341,2022,060142307466,0601423,4,99,99,0,6,2026-03-29
342,2022,060142308662,0601423,4,99,99,0,6,2026-03-29
343,2022,060142600516,0601426,4,99,99,129,6,2026-03-29
344,2022,060142606481,0601426,4,99,99,25,6,2026-03-29
345,2022,060142611749,0601426,4,99,99,55,6,2026-03-29
346,2022,060142700722,0601427,4,99,99,42,6,2026-03-29
347,2022,060142702295,0601427,4,99,99,2,6,2026-03-29
348,2022,060142704919,0601427,4,99,99,27,6,2026-03-29
349,2022,060142806990,0601428,4,99,99,92,6,2026-03-29
350,2022,060142807146,0601428,4,99,99,144,6,2026-03-29
351,2022,060142814278,0601428,4,99,99,0,6,2026-03-29
352,2022,060144206694,0601442,4,99,99,61,6,2026-03-29
353,2022,060146112419,0601461,4,99,99,45,6,2026-03-29
354,2022,060146314373,0601463,4,99,99,24,6,2026-03-29
355,2022,060146413054,0601464,4,99,99,83,6,2026-03-29
356,2022,060146708155,0601467,4,99,99,12,6,2026-03-29
357,2022,060146814198,0601468,4,99,99,30,6,2026-03-29
358,2022,060146913015,0601469,4,99,99,45,6,2026-03-29
359,2022,060147014100,0601470,4,99,99,52,6,2026-03-29
360,2022,060147110830,0601471,4,99,99,67,6,2026-03-29
361,2022,060147211464,0601472,4,99,99,244,6,2026-03-29
362,2022,060147314298,0601473,4,99,99,64,6,2026-03-29
363,2022,060147511746,0601475,4,99,99,48,6,2026-03-29
364,2022,060147711630,0601477,4,99,99,36,6,2026-03-29
365,2022,060147812541,0601478,4,99,99,67,6,2026-03-29
366,2022,060148011198,0601480,4,99,99,45,6,2026-03-29
367,2022,060148112377,0601481,4,99,99,44,6,2026-03-29
368,2022,060148312630,0601483,4,99,99,47,6,2026-03-29
369,2022,060148514209,0601485,4,99,99,0,6,2026-03-29
370,2022,060148600162,0601486,4,99,99,45,6,2026-03-29
371,2022,060148714233,0601487,4,99,99,9,6,2026-03-29
372,2022,060148913185,0601489,4,99,99,31,6,2026-03-29
373,2022,060149008724,0601490,4,99,99,75,6,2026-03-29
374,2022,060149610724,0601496,4,99,99,41,6,2026-03-29
375,2022,060149713021,0601497,4,99,99,23,6,2026-03-29
376,2022,060149814322,0601498,4,99,99,41,6,2026-03-29
377,2022,060149912628,0601499,4,99,99,24,6,2026-03-29
378,2022,060150114258,0601501,4,99,99,2,6,2026-03-29
379,2022,060150313795,0601503,4,99,99,49,6,2026-03-29
380,2022,060150712162,0601507,4,99,99,78,6,2026-03-29
381,2022,060150812862,0601508,4,99,99,75,6,2026-03-29
382,2022,060151112515,0601511,4,99,99,24,6,2026-03-29
383,2022,060151213958,0601512,4,99,99,52,6,2026-03-29
384,2022,060151306027,0601513,4,99,99,112,6,2026-03-29
385,2022,060151613715,0601516,4,99,99,38,6,2026-03-29
386,2022,060151713179,0601517,4,99,99,71,6,2026-03-29
387,2022,060151914018,0601519,4,99,99,61,6,2026-03-29
388,2022,060152012866,0601520,4,99,99,24,6,2026-03-29
389,2022,060152112735,0601521,4,99,99,7,6,2026-03-29
390,2022,060152210634,0601522,4,99,99,10,6,2026-03-29
391,2022,060152412447,0601524,4,99,99,52,6,2026-03-29
392,2022,060152711385,0601527,4,99,99,45,6,2026-03-29
393,2022,060152813030,0601528,4,99,99,0,6,2026-03-29
394,2022,060152913966,0601529,4,99,99,71,6,2026-03-29
395,2022,060153013768,0601530,4,99,99,48,6,2026-03-29
396,2022,060153612225,0601536,4,99,99,53,6,2026-03-29
397,2022,060153708313,0601537,4,99,99,6,6,2026-03-29
398,2022,060153808721,0601538,4,99,99,70,6,2026-03-29
399,2022,060154112614,0601541,4,99,99,48,6,2026-03-29
400,2022,060154412705,0601544,4,99,99,115,6,2026-03-29
401,2022,060154505492,0601545,4,99,99,53,6,2026-03-29
402,2022,060154713891,0601547,4,99,99,76,6,2026-03-29
403,2022,060155011660,0601550,4,99,99,61,6,2026-03-29
404,2022,060155112318,0601551,4,99,99,37,6,2026-03-29
405,2022,060155611883,0601556,4,99,99,31,6,2026-03-29
406,2022,060155712077,0601557,4,99,99,55,6,2026-03-29
407,2022,060155812150,0601558,4,99,99,104,6,2026-03-29
408,2022,060155910819,0601559,4,99,99,12,6,2026-03-29
409,2022,060156008300,0601560,4,99,99,147,6,2026-03-29
410,2022,060156211906,0601562,4,99,99,0,6,2026-03-29
411,2022,060156708744,0601567,4,99,99,50,6,2026-03-29
412,2022,060157011695,0601570,4,99,99,54,6,2026-03-29
413,2022,060157307522,0601573,4,99,99,60,6,2026-03-29
414,2022,060157412258,0601574,4,99,99,16,6,2026-03-29
415,2022,060157514313,0601575,4,99,99,53,6,2026-03-29
416,2022,060157714245,0601577,4,99,99,16,6,2026-03-29
417,2022,060157800869,0601578,4,99,99,113,6,2026-03-29
418,2022,060158112960,0601581,4,99,99,15,6,2026-03-29
419,2022,060158214030,0601582,4,99,99,98,6,2026-03-29
420,2022,060158510381,0601585,4,99,99,24,6,2026-03-29
421,2022,060158612641,0601586,4,99,99,48,6,2026-03-29
422,2022,060158713910,0601587,4,99,99,30,6,2026-03-29
423,2022,060158807958,0601588,4,99,99,54,6,2026-03-29
424,2022,060159014226,0601590,4,99,99,454,6,2026-03-29
425,2022,060159111792,0601591,4,99,99,54,6,2026-03-29
426,2022,060159214346,0601592,4,99,99,54,6,2026-03-29
427,2022,060159403333,0601594,4,99,99,108,6,2026-03-29
428,2022,060159513960,0601595,4,99,99,27,6,2026-03-29
429,2022,060159811189,0601598,4,99,99,26,6,2026-03-29
430,2022,060159910869,0601599,4,99,99,61,6,2026-03-29
431,2022,060160014079,0601600,4,99,99,63,6,2026-03-29
432,2022,060160114270,0601601,4,99,99,4,6,2026-03-29
433,2022,060160310558,0601603,4,99,99,23,6,2026-03-29
434,2022,060160414051,0601604,4,99,99,68,6,2026-03-29
